word,Defination
abate,To enter upon and unlawfully seize  after the owner has died thus preventing an heir from taking possession of it
aberrant,A group individual or structure that deviates from the usual or natural type especially with an atypical chromosome number
abeyance,Expectancy a condition when an ownership of real property is undetermined lapse in succession of ownership of estate or title
abscond,To flee often secretly to steal away particularly to avoid arrest or prosecution
abstemious,Refraining from freely consuming food or strong drink sparing in diet abstinent temperate
admonish,To inform or notify of a fault to rebuke gently or kindly but seriously to tell off
adulterate,Tending to commit adultery relating to or being the product of adultery adulterous
aesthetic,The artistic motifs defining a collection of things especially works of art more broadly their vibe
aggregate,Solid particles of low aspect ratio added to a composite material as distinguished from the matrix and any fibers or reinforcements especially the gravel and sand added to concrete
alacrity,Eagerness liveliness enthusiasm
